Category: All categories

Month,factory: (Chittagong Division),guard: (Chittagong Division),racism: (Chittagong Division),Email: (Chittagong Division)
2018-12,2,1,0,6
2019-01,2,1,0,7
2019-02,3,1,0,8
2019-03,2,1,0,10
2019-04,3,1,0,10
2019-05,2,1,0,9
2019-06,2,1,0,7
2019-07,3,1,0,9
2019-08,3,1,0,10
2019-09,3,1,0,10
2019-10,2,1,<1,11
2019-11,3,1,0,10
2019-12,3,1,0,7
2020-01,2,1,0,8
2020-02,2,1,0,10
2020-03,2,1,0,11
2020-04,2,1,0,11
2020-05,2,1,<1,10
2020-06,2,1,1,12
2020-07,2,1,<1,12
2020-08,3,1,<1,11
2020-09,3,1,<1,11
2020-10,2,1,0,9
2020-11,2,1,0,8
2020-12,2,1,0,8
2021-01,2,1,<1,7
2021-02,2,2,<1,8
2021-03,2,2,<1,9
2021-04,2,1,<1,8
2021-05,2,1,<1,8
2021-06,2,1,<1,9
2021-07,2,1,<1,8
2021-08,2,1,<1,8
2021-09,3,1,0,8
2021-10,2,1,0,9
2021-11,2,1,0,16
2021-12,2,1,0,7
2022-01,2,1,0,8
2022-02,2,1,<1,9
2022-03,2,1,<1,11
2022-04,2,1,<1,12
2022-05,2,1,0,14
2022-06,3,1,<1,14
2022-07,2,1,0,11
2022-08,2,1,<1,13
2022-09,2,1,0,13
2022-10,2,1,<1,12
2022-11,2,1,0,12
2022-12,2,1,<1,7
2023-01,2,1,0,8
2023-02,2,1,0,8
2023-03,2,1,<1,9
2023-04,2,1,<1,8
2023-05,2,1,<1,11
2023-06,2,1,<1,10
2023-07,3,1,<1,8
2023-08,3,1,<1,10
2023-09,3,1,<1,9
2023-10,3,1,0,8
2023-11,2,1,<1,9
2023-12,3,1,<1,7
2024-01,2,1,0,7
2024-02,3,1,<1,7
2024-03,3,1,<1,7
2024-04,2,1,<1,6
2024-05,2,1,0,7
2024-06,3,1,<1,6
2024-07,3,1,0,6
2024-08,3,1,0,6
2024-09,3,1,0,8
2024-10,3,1,0,8
2024-11,2,1,0,8
2024-12,2,1,<1,7
2025-01,2,1,0,6
2025-02,2,1,0,6
2025-03,2,1,0,7
2025-04,2,1,0,7
2025-05,2,1,0,8
2025-06,2,1,0,7
2025-07,2,1,0,6
2025-08,2,1,<1,7
2025-09,2,1,<1,7
