Category: All categories

Month,equipment: (Dhaka Division),production: (Dhaka Division),cooperative: (Dhaka Division),honey: (Dhaka Division),Email: (Dhaka Division)
2020-05,3,4,<1,6,23
2020-06,4,5,<1,6,29
2020-07,4,5,<1,6,31
2020-08,3,5,<1,5,27
2020-09,4,6,<1,5,28
2020-10,4,5,<1,5,25
2020-11,3,6,<1,5,22
2020-12,3,6,<1,5,23
2021-01,3,5,<1,5,22
2021-02,3,6,<1,5,21
2021-03,3,5,<1,5,22
2021-04,3,6,<1,4,21
2021-05,3,5,<1,4,19
2021-06,4,5,<1,4,21
2021-07,3,4,<1,4,19
2021-08,4,5,<1,4,20
2021-09,3,5,<1,4,20
2021-10,3,4,<1,4,19
2021-11,3,5,<1,4,25
2021-12,4,5,<1,4,18
2022-01,3,5,<1,4,20
2022-02,3,6,<1,4,24
2022-03,3,7,1,4,29
2022-04,3,6,<1,4,25
2022-05,2,5,<1,4,25
2022-06,3,5,<1,4,27
2022-07,2,4,<1,4,24
2022-08,3,6,<1,4,27
2022-09,3,5,<1,4,29
2022-10,3,5,<1,4,25
2022-11,2,5,<1,4,27
2022-12,2,4,<1,4,20
2023-01,2,5,<1,5,22
2023-02,3,5,<1,5,23
2023-03,2,5,<1,5,22
2023-04,2,4,<1,5,19
2023-05,2,5,<1,5,24
2023-06,2,4,<1,5,23
2023-07,2,4,<1,5,20
2023-08,2,5,<1,6,26
2023-09,2,4,<1,5,21
2023-10,2,4,<1,6,20
2023-11,2,4,<1,5,21
2023-12,2,4,<1,5,18
2024-01,2,4,<1,5,20
2024-02,3,4,<1,5,21
2024-03,2,4,<1,5,20
2024-04,2,4,<1,4,18
2024-05,2,4,<1,4,20
2024-06,2,3,<1,4,15
2024-07,2,3,<1,4,19
2024-08,2,3,<1,4,19
2024-09,2,4,<1,5,22
2024-10,2,4,<1,5,20
2024-11,2,5,<1,6,23
2024-12,2,4,<1,6,19
2025-01,2,4,<1,6,21
2025-02,2,4,<1,5,21
2025-03,2,3,<1,5,20
2025-04,2,4,<1,6,18
2025-05,2,4,<1,5,21
2025-06,2,3,<1,4,18
2025-07,2,4,<1,5,19
2025-08,2,4,<1,5,20
2025-09,2,3,<1,5,19
