Category: All categories

Month,climate change: (Dhaka Division),water: (Dhaka Division),rain: (Dhaka Division),waters: (Dhaka Division),Email: (Dhaka Division)
2018-05,1,21,8,<1,19
2018-06,1,18,7,<1,19
2018-07,1,22,8,<1,20
2018-08,1,22,6,<1,19
2018-09,2,24,6,<1,20
2018-10,2,24,5,<1,20
2018-11,2,23,5,<1,21
2018-12,1,21,5,<1,16
2019-01,1,22,5,<1,20
2019-02,1,22,6,<1,20
2019-03,1,26,6,<1,23
2019-04,2,24,7,<1,24
2019-05,1,25,7,<1,22
2019-06,1,23,8,<1,18
2019-07,2,28,9,<1,21
2019-08,1,25,7,<1,22
2019-09,2,27,6,<1,22
2019-10,2,29,6,<1,23
2019-11,3,33,6,<1,22
2019-12,2,27,5,<1,19
2020-01,2,28,5,<1,21
2020-02,2,28,5,<1,23
2020-03,2,31,6,<1,24
2020-04,1,28,9,<1,24
2020-05,1,29,8,<1,23
2020-06,1,33,8,<1,29
2020-07,1,32,9,<1,31
2020-08,1,32,8,<1,27
2020-09,2,34,7,<1,28
2020-10,1,32,6,<1,25
2020-11,1,32,5,<1,22
2020-12,1,34,4,<1,23
2021-01,1,30,4,<1,22
2021-02,1,33,4,<1,21
2021-03,1,36,5,<1,22
2021-04,1,34,6,<1,21
2021-05,1,33,9,<1,19
2021-06,1,31,9,<1,21
2021-07,1,29,7,<1,19
2021-08,1,32,6,<1,20
2021-09,1,31,5,<1,20
2021-10,1,29,5,<1,19
2021-11,2,30,6,<1,25
2021-12,2,29,5,<1,18
2022-01,2,27,4,<1,20
2022-02,2,33,5,<1,24
2022-03,2,36,5,<1,29
2022-04,20,34,7,<1,25
2022-05,2,32,10,<1,25
2022-06,2,34,9,<1,27
2022-07,2,31,7,<1,24
2022-08,2,34,6,<1,27
2022-09,2,31,7,<1,29
2022-10,2,31,7,<1,25
2022-11,3,29,5,<1,27
2022-12,2,26,4,<1,20
2023-01,2,30,4,<1,22
2023-02,2,31,4,<1,23
2023-03,2,32,7,<1,22
2023-04,8,31,8,<1,19
2023-05,2,33,8,<1,24
2023-06,2,32,9,<1,23
2023-07,2,31,7,<1,20
2023-08,2,31,8,<1,26
2023-09,2,31,7,<1,21
2023-10,2,28,5,<1,20
2023-11,2,29,5,<1,21
2023-12,2,29,5,<1,18
2024-01,1,28,4,<1,20
2024-02,1,29,4,<1,21
2024-03,1,29,6,<1,20
2024-04,16,32,8,<1,18
2024-05,2,32,10,<1,20
2024-06,1,25,7,<1,15
2024-07,1,24,7,<1,19
2024-08,1,25,7,<1,19
2024-09,1,28,8,<1,22
2024-10,2,26,6,<1,20
2024-11,2,29,5,<1,23
2024-12,1,27,5,<1,19
2025-01,2,28,4,<1,21
2025-02,1,26,5,<1,21
2025-03,1,27,5,<1,20
2025-04,1,30,7,<1,18
2025-05,1,28,9,<1,21
2025-06,1,26,8,<1,18
2025-07,1,26,7,<1,19
2025-08,1,29,7,<1,20
2025-09,1,26,5,<1,19
